id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
39024098,Sunset Vista Place,298817990,Wyman,,78744,30.16889,-97.72861,Entire home/apt,57,1,57,2020-03-12,2.62,1,0,0,
39025698,Room 15 mins from Zilker,18325447,Connor,,78731,30.35377,-97.76224,Private room,70,2,0,,,1,0,0,
39028299,Beautiful and Cozy Room in West Campus,267854797,Mo,,78705,30.28338,-97.74677,Private room,54,1,22,2021-06-27,5.50,31,284,19,
39028901,Pig Parlour,134082610,Hunter,,78704,30.24939,-97.74972,Entire home/apt,222,1,100,2021-08-31,4.69,3,47,66,
39029322,Magical Tree House,134082610,Hunter,,78704,30.24956,-97.74774,Entire home/apt,266,1,122,2021-08-30,6.14,3,51,75,
39030769,Cozy and charming for large group,23875599,Marwa & Alex,,78704,30.24833,-97.78205,Entire home/apt,257,2,4,2021-05-31,0.18,4,7,1,
39034443,"1,500 sq ft guest house offers complete privacy",167807971,Gregory,,78733,30.32929,-97.88016,Entire home/apt,129,1,3,2020-01-04,0.13,1,0,0,
39046668,"Casa Lorelei, a comfy stay in South Central Austin",280425830,Lorelei,,78745,30.21194,-97.78119,Private room,38,5,43,2021-09-10,1.85,1,136,9,
39048062,Queen Bed with shared Bathroom,297354167,Sheeba,,78725,30.23155,-97.58714,Private room,40,1,1,2019-11-03,0.04,2,80,0,
39053687,"SoCo Treehouse—pet friendly, 🔥Wifi +disinfection",1342023,Rachel,,78704,30.23961,-97.75073,Entire home/apt,178,21,23,2020-06-30,0.96,2,85,0,
39053825,Large home on golf course in South Austin,182974861,Loran,,78747,30.14097,-97.78949,Entire home/apt,290,180,0,,,1,85,0,
39055617,Austin's Finest Gem,273160693,Thomas,,78752,30.33028,-97.70274,Entire home/apt,159,2,93,2021-09-06,4.67,1,310,52,
39056074,Lake Austin Home,61481059,Bri,,78746,30.33057,-97.8231,Entire home/apt,1500,5,4,2020-03-09,0.18,1,227,0,
39056933,Backyard Zen Mini-Glamping  in South Austin,23,Charlene,,78744,30.18005,-97.75093,Private room,35,1,0,,,3,133,0,
39058148,"Don't risk your ACL rental dollars, stay in a legal rental!!  We have the best!",126263802,The Lux Haus,,78701,30.26531,-97.74954,Entire home/apt,295,1,42,2021-08-13,1.88,5,86,26,
39059335,Perfect resting spot during ACL!,281033742,Lakeisha,,78730,30.38899,-97.84098,Entire home/apt,75,1,0,,,1,0,0,
39062002,LUXURIOUS HIGH-RISE CONDO- DOWNTOWN,299391890,Cole,,78701,30.26598,-97.74869,Entire home/apt,349,1,8,2020-01-19,0.35,1,0,0,
39063175,"3 bedroom SoCo Cool! Huge, hip and great location",57082295,Jason,,78704,30.253956,-97.747742,Entire home/apt,309,1,116,2021-09-01,9.56,1,292,58,
39072305,Spacious Hyde Park Townhouse - quick ride downtown,177499307,Emma,,78705,30.29445,-97.73214,Private room,60,2,0,,,1,0,0,
39072703,Beautiful home close to downtown and Zilker!!,49537000,Matthew,,78759,30.38034,-97.75514,Entire home/apt,650,1,2,2019-11-03,0.09,1,247,0,
39077787,Modern farmhouse in 78704. Perfect location,418429,Haripriya,,78704,30.23112,-97.78451,Entire home/apt,225,2,0,,,1,166,0,
39078439,Newly renovated and Beautifully Furnished!,2476440,Michelle,,78745,30.22415,-97.78996,Entire home/apt,125,30,2,2019-11-18,0.71,4,72,1,
39079124,East Austin Modern Bliss - King Bed,155971297,Randy,,78702,30.26138,-97.72471,Entire home/apt,160,3,18,2021-09-06,0.96,1,38,13,
39080620,Casita 305-A SoCo Experience 1.5 Miles to Downtown,82150515,Kristin,,78704,30.2449,-97.75352,Entire home/apt,150,2,29,2021-06-20,1.53,1,18,10,
39083874,Beautiful entire place in Downtown,267854797,Mo,,78705,30.28539,-97.74701,Entire home/apt,132,30,23,2020-03-08,1.04,31,266,0,
39084799,"Close To UT
North University",420725,Medora,,78705,30.2991,-97.74114,Entire home/apt,139,1,16,2021-07-19,0.87,2,337,9,
39085203,"Cute, comfy South Austin private room & bath",15558644,Ruvani,,78744,30.19299,-97.73599,Private room,73,2,1,2019-10-13,0.04,2,81,0,
39088402,"Private room, West Campus- ACL, Downtown, Austin",145982717,Ahmed,,78705,30.28805,-97.7497,Private room,115,1,1,2020-03-17,0.05,1,0,0,
39089358,Cozy and  charming condo in South Lamar,23875599,Marwa & Alex,,78704,30.24957,-97.78192,Entire home/apt,129,2,24,2021-08-23,2.26,4,14,6,
39089792,Cozy and charming 2BR condo,23875599,Marwa & Alex,,78704,30.248,-97.78352,Entire home/apt,129,2,37,2021-08-23,1.63,4,15,28,
39096435,"East Austin New Build, Near Nightlife & Dining",109638288,TurnKey Vacation Rentals,,78702,30.2673,-97.71076,Entire home/apt,242,2,2,2019-12-15,0.09,74,0,0,
39102016,"The Treehouse - Walk to Zilker Park, DT and more!",299700769,Val & Ryan,,78704,30.25601,-97.75169,Entire home/apt,68,21,24,2020-07-31,1.09,3,306,0,
39110341,The King Bee of East Central Austin - Close to UT/Downtown,246235981,Ames - Austin Vacay,,78702,30.2736,-97.71679,Entire home/apt,81,1,142,2021-09-13,6.07,4,332,70,
39113748,Cute apartment 10mins walking distance to Downtown,7475020,David,,78703,30.27741,-97.75316,Entire home/apt,150,2,4,2019-10-29,0.17,1,0,0,
39115563,Pretty Pink Place,211427514,Taylor,,78704,30.2511,-97.76591,Entire home/apt,75,5,6,2020-12-19,0.26,1,0,3,
39115594,Huge Entertainment Loft with PRO Klipsch Sound,17815058,Roberta,,78702,30.25176,-97.72645,Entire home/apt,167,4,61,2021-08-23,3.28,1,44,24,
39116489,Private Guest Room & Bath,185374864,Christina,,78723,30.29575,-97.6968,Private room,65,2,5,2020-08-29,0.35,2,0,0,
39127406,South Austin Getaway close to Nature & Nightlife,300049261,Paco,,78748,30.1593,-97.81207,Private room,60,2,6,2021-02-25,0.31,1,0,2,
39133872,East Austin Communal Home,156950341,Abel,,78702,30.26723,-97.69965,Private room,200,1,2,2019-10-06,0.08,1,176,0,
39136587,Paradise in the city with a hot tub,300189362,Mary,,78704,30.23461,-97.76251,Entire home/apt,525,2,39,2021-09-05,1.73,2,309,24,
39138835,I-35 Luxury  One Bedroom Apartment Self-Check-in,300209169,Martin,,78753,30.3719,-97.68164,Entire home/apt,80,2,44,2021-09-06,11.58,1,166,22,
39140404,"2x1, ATX, Great Location from Everything!",300221907,Abigail,,78741,30.23326,-97.7284,Entire home/apt,45,90,0,,,1,0,0,
39140831,WIN-WIN! Cheap rates for you & we make a lil’ $!,300224338,Ashley,,78758,30.37287,-97.71319,Private room,50,1,2,2019-10-27,0.08,1,0,0,
39146141,Affordable Luxury Hotel Style Private Room,218306955,Pedram,,78729,30.44488,-97.77513,Private room,60,3,65,2021-09-04,2.89,1,18,37,
39150062,Modern Spacious Austin Oasis,20931911,Ben,,78751,30.30928,-97.71257,Entire home/apt,456,2,26,2021-08-01,1.19,1,57,11,
39150967,Govalle Park Cabaña,4719450,Alan,,78721,30.25933,-97.69018,Entire home/apt,415,3,16,2021-05-31,4.17,1,171,4,
39155115,Austin Oasis Close to UT and Downtown,300354917,Chris & Rose,,78705,30.2971,-97.74476,Entire home/apt,1207,2,44,2021-08-22,8.00,2,331,25,
39157662,Cute 1 bedroom apartment,25507803,Marle,,78752,30.33102,-97.72053,Entire home/apt,100,1,2,2020-02-16,0.09,1,259,0,
39158239,Getaway-Boho-Work-Family-Professionally-Sanitized,190182641,Candice,,78751,30.31943,-97.71158,Entire home/apt,104,2,148,2021-09-12,7.74,1,286,90,
39173837,"Still OPEN! POWER, cable, internet and generator.",300544700,H. D.,,78745,30.19008,-97.82297,Private room,249,1,2,2021-02-17,0.09,1,90,1,
39174587,"Private, one bedroom, close to Downtown & UT",20321915,Nicole,,78741,30.23334,-97.73617,Entire home/apt,52,3,13,2020-03-13,0.65,2,0,0,
39174984,Comfy modern townhouse /walkable Austin ‘hood,214652242,Marian,,78723,30.29291,-97.69718,Entire home/apt,83,30,7,2021-08-22,0.32,1,41,5,
39177262,Beautiful Master Room next to Airport and Downtown,220077967,Ashley,,78725,30.22048,-97.63365,Private room,45,1,4,2020-02-16,0.17,1,72,0,
39177459,One Story Morning Glory,15717481,Austinville Properties,,78745,30.22095,-97.79845,Entire home/apt,600,30,2,2020-08-03,0.09,1,319,0,
39197096,Charming 1920's Travis Heights Bungalow,21499124,Maya,,78704,30.24912,-97.74153,Entire home/apt,150,30,1,2020-07-21,0.07,1,71,0,
39203878,HOME AWAY FROM HOME 1-BD CONDO <15min to downtown!,300832351,Gary,,78751,30.31973,-97.71153,Entire home/apt,71,2,86,2021-09-11,3.74,1,35,56,
39220551,EastSide Casita,300958221,Mike,,78702,30.25446,-97.71473,Entire home/apt,787,1,40,2021-09-12,1.76,4,0,25,
39221345,East Austin Hang Out,24516340,David,,78702,30.2627,-97.71769,Entire home/apt,379,3,25,2021-08-08,1.10,16,47,16,
39224270,Private Home in W.Austin - Cuernavaca area,141377052,Martha,,78733,30.33506,-97.87089,Entire home/apt,179,3,32,2021-09-12,2.95,1,0,13,
39226211,Private room in Artsy apartment.,301046946,Kim,,78751,30.31171,-97.71618,Private room,30,2,2,2019-11-06,0.09,1,0,0,
39229071,New Eastside Condo Homebase for Discovering Austin,985937,Marc,,78702,30.25936,-97.72315,Entire home/apt,139,2,39,2021-09-12,1.77,1,231,22,
