id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
50173046,Downtown Austin - Walk to 6th,404924711,Martina,,78703,30.27359,-97.75517,Entire home/apt,105,1,29,2021-11-21,5.06,1,136,29,
50175699,Cozy Value Space w/ Pool - 2 Bath - Only Min to DT,32256062,Kathy,,78741,30.2316,-97.73517,Entire home/apt,81,3,25,2021-12-05,4.69,1,56,25,
50175731,Amazing Home On A Golf Course Near Lake Travis,37713044,Tony,,78734,30.3534,-97.97276,Entire home/apt,286,4,6,2021-10-25,1.09,1,346,6,
50176229,WALKING DISTANCE TO UT FOOTBALL STADIUM/DOWTOWN,49184614,Brooklyn,,78702,30.27293,-97.72993,Entire home/apt,350,2,6,2021-11-14,1.12,2,64,6,
50179184,Retro Gold With a City View! Steps From Zilker,55885216,Samuel (Cannon),,78704,30.26088,-97.77533,Entire home/apt,115,1,51,2021-11-30,8.64,4,100,51,
50180195,Cozy Cabin w/ Private Water Access to Lake Travis,125445435,Jadd,,78734,30.40576,-97.91178,Entire home/apt,200,3,16,2021-11-27,2.73,1,359,16,
50180698,Updated/clean 2 bed/2 bath condo 78704 3 mi to DT.,579290,Jay,,78704,30.234837,-97.78009,Entire home/apt,155,3,4,2021-10-11,1.22,26,254,4,
50180799,Domain My Capital Housing 2 Bed,306354806,My Capital Housing,,78758,30.40213,-97.72367,Entire home/apt,152,1,16,2021-11-20,2.54,3,44,16,
50186707,All-inclusive apartment home | 1BR in Austin,368944610,Carolyn,,78758,30.3999,-97.72413,Entire home/apt,207,31,0,,,48,365,0,
50190233,Downtown Luxury Apartment on Rainey St,24009787,G.,,78701,30.26103,-97.73953,Entire home/apt,150,2,13,2021-11-08,2.22,1,83,13,
50192704,Lavender House - Central Austin,36965935,Elysse,,78756,30.32483,-97.73078,Entire home/apt,250,2,5,2021-11-15,1.32,2,66,5,
50193784,Downtown skyline view with lots of space,302840666,Maury,,78724,30.28903,-97.64284,Entire home/apt,100,3,1,2021-06-30,0.18,1,3,1,
50194207,National at the Domain - 1 bedroom!,22647318,National Corporate Housing-Houston,,78758,30.39938,-97.72285,Entire home/apt,59,2,5,2021-10-29,0.82,12,6,5,
